Atom_Index,Atom_Symbol,Is_Aromatic,Raw_Attention_Score,Relative_Attention_Score
0,C,True,0.018496689774716895,1.0
1,C,True,0.018351141809641074,0.8488473750570893
2,C,True,0.01830354119495799,0.7994137889915189
3,C,True,0.01827796271148448,0.772850347056307
4,C,True,0.01793069380801171,0.4122090540391809
5,C,True,0.017665937562317897,0.13725775887127406
6,C,False,0.017654156545177102,0.125023086511541
7,C,False,0.017801691583978634,0.27823930203395525
8,O,False,0.017533769248984754,0.0
