Atom_Index,Atom_Symbol,Is_Aromatic,Raw_Attention_Score,Relative_Attention_Score
0,C,True,0.017806526894370716,1.0
1,C,True,0.017672072028896462,0.8928332365859506
2,C,True,0.017701319671080757,0.9161449638286013
3,C,True,0.01767491353287672,0.895098047039021
4,C,True,0.016852557639746617,0.23964226170637146
5,C,True,0.0165518947566549,0.0
6,C,False,0.017573314854719985,0.8141191886927777
7,C,False,0.017693131424797077,0.909618551793128
8,C,False,0.017704790050629526,0.9189110172752216
9,O,False,0.017206645124436665,0.5218664085664222
