Char_Index,Character,Raw_Attention_Score,Relative_Attention_Score
0,C,0.017668898586028565,0.9300183317949654
1,C,0.0176988563228709,0.9901970849195438
2,C,0.017687328703080613,0.9670405364417797
3,C,0.017633437683495384,0.858784883475751
4,C,0.017585288946672033,0.7620642612938348
5,C,0.017565505404490978,0.7223233119988586
6,C,0.01757975892784695,0.7509556238356566
7,=,0.01751845225226134,0.6278034873985205
8,O,0.017703736336746562,1.0
9, ,0.01747083068282033,0.5321418329191441
10, ,0.017415870892970513,0.4217392466838221
11, ,0.01733732857974246,0.2639643619366886
12, ,0.01728142813468973,0.15167219847697758
13, ,0.01725940266624093,0.10742769378660968
14, ,0.0172723852059183,0.13350686840137815
15, ,0.01732208556495607,0.23334437123003637
16, ,0.01738602831028402,0.36179181388734455
17, ,0.01744405647817378,0.47835812221991747
18, ,0.017509155887334298,0.6091290577229816
19, ,0.017582425905857235,0.7563130182247703
20, ,0.017605886251355212,0.8034398872326114
21, ,0.01755649468395859,0.7042226814590096
22, ,0.01743536178643505,0.46089232664286034
23, ,0.017325920052826405,0.241047045838688
24, ,0.017268704638505977,0.1261133874174728
25, ,0.017258033292212833,0.1046769111755664
26, ,0.01727979426505044,0.14839010016034024
27, ,0.017320940212812275,0.23104360117304387
28, ,0.017336719824622076,0.2627415017354722
29, ,0.017308840877376497,0.2067385969601687
30, ,0.017271759589978803,0.1322501383829528
31, ,0.017260089070380975,0.10880653443484682
32, ,0.01727705169469118,0.14288085674034148
33, ,0.01731734179581205,0.22381514298091182
34, ,0.017344565693444263,0.27850219171626583
35, ,0.017338596439609926,0.26651122408326094
36, ,0.01730242414244761,0.19384873451215887
37, ,0.01726469409186393,0.11805704799715803
38, ,0.01724194558725382,0.07236011668055053
39, ,0.017229118345615763,0.046592902959816676
40, ,0.017224229911031824,0.03677307245857375
41, ,0.01722150350299974,0.03129629573331506
42, ,0.01722277308969448,0.03384662671042067
43, ,0.01722686303158601,0.04206245438390413
44, ,0.017233463431087632,0.055321260088158186
45, ,0.01723731947519506,0.06306723661501536
46, ,0.01723043261639153,0.049232994798858884
47, ,0.01721906675569092,0.02640138609790942
48, ,0.017213232601837564,0.01468180573442119
49, ,0.017220329376868904,0.028937724826017086
50, ,0.017247504360663395,0.08352651601341257
51, ,0.01730279523568849,0.19459418229570163
52, ,0.017365180770866573,0.31991351932657214
53, ,0.017370042255303513,0.3296792126861649
54, ,0.017300694637621444,0.19037452534511237
55, ,0.01724155431535716,0.07157413424811146
56, ,0.017211148243707914,0.010494771381072392
57, ,0.017205923815102626,0.0
58, ,0.017223246317977708,0.03479724217839592
59, ,0.017251411452889442,0.0913750374068574
60, ,0.01727913657668978,0.14706894343553675
61, ,0.01728799397824332,0.16486158859498642
62, ,0.017286185718451936,0.1612291773703474
63, ,0.01728679076768458,0.16244459322739524
64, ,0.017294704099185765,0.17834080145263942
65, ,0.01729585069309299,0.18064406594956195
66, ,0.0172833651304245,0.15556321296647527
67, ,0.01726810143251593,0.12490167424470187
68, ,0.017260968937383343,0.11057400102942418
69, ,0.01725720912994196,0.10302134359733005
