Char_Index,Character,Raw_Attention_Score,Relative_Attention_Score
0,C,0.018496689774716895,0.702233851091386
1,1,0.017804154835175723,0.197185444069871
2,=,0.01862490549683571,0.7957383698007562
3,C,0.018351141809641074,0.596089361175154
4,C,0.01830354119495799,0.561375423659071
5,=,0.018645877775270492,0.8110329278227911
6,C,0.01827796271148448,0.5427216755306646
7,(,0.01774152733075122,0.15151277177656672
8,C,0.01793069380801171,0.28946715147267127
9,=,0.018607916329832126,0.7833485953043721
10,C,0.017665937562317897,0.09638704460434763
11,1,0.017685750072511535,0.11083581266076376
12,),0.018198173590159666,0.48453346534528025
13,C,0.017654156545177102,0.08779544351633096
14,C,0.017801691583978634,0.19538905659228373
15,=,0.01849392648243035,0.7002186511530565
16,O,0.017533769248984754,0.0
17, ,0.018523964992103476,0.722124984817267
18, ,0.018578396120574325,0.7618202451673066
19, ,0.018651693244464695,0.8152740040269191
20, ,0.018686943396460265,0.8409810580629562
21, ,0.018624144121228408,0.795183117616849
22, ,0.018536458839662373,0.7312364352971101
23, ,0.01862187768953542,0.7935302656799852
24, ,0.018774234825590003,0.9046405136534779
25, ,0.01878282641215871,0.9109061428117512
26, ,0.01866562697493161,0.8254355250916094
27, ,0.01853424549335614,0.7296222972048264
28, ,0.018491486727725714,0.6984393990796293
29, ,0.018508776265662163,0.7110482265833028
30, ,0.018561873856621485,0.7497709713858286
31, ,0.018625497507552307,0.7961701084066896
32, ,0.01863734150538221,0.8048076397357542
33, ,0.01860808877972886,0.7834743587000706
34, ,0.018587317298321675,0.7683262369271449
35, ,0.01858173867609973,0.7642578872949434
36, ,0.018591572685788076,0.7714295845540372
37, ,0.018625478085596114,0.796155944459896
38, ,0.01867934679224466,0.8354410446444198
39, ,0.018754493658586096,0.8902437744006183
40, ,0.01882603781996295,0.94241914155106
41, ,0.01888184101941685,0.9831150189454471
42, ,0.01890499412547797,1.0
43, ,0.01887263417787229,0.9764006997244403
44, ,0.01878671741966779,0.9137437572510643
45, ,0.01868376653874293,0.8386642552016634
46, ,0.018647066957782954,0.8119001688806571
47, ,0.01869134985220929,0.8441945760092561
48, ,0.01874264737125486,0.8816045733955065
49, ,0.018751589426149923,0.8881257903369103
50, ,0.018682514569566894,0.8377512254007186
51, ,0.018570367984163266,0.7559655261137908
52, ,0.018533883480510365,0.7293582902924817
53, ,0.0185323499996836,0.7282399610869271
54, ,0.018543745488083612,0.7365504057086403
55, ,0.01865387286913271,0.816863549772025
56, ,0.018821648225033034,0.9392179197783477
57, ,0.01887848920887336,0.9806706273646433
58, ,0.018884647404775023,0.9851616455829032
59, ,0.018857027811463922,0.9650193671101439
60, ,0.018795775269002963,0.9203494201809377
61, ,0.018718365347012877,0.8638963005525553
62, ,0.01866528729442507,0.825187804595605
63, ,0.01864243143548568,0.8085195984310244
64, ,0.01863792094324405,0.8052302092732344
65, ,0.018658821121789515,0.8204721866496326
66, ,0.018694414582569152,0.8464296071937115
67, ,0.018712800811044872,0.8598382236729726
68, ,0.01867896559027334,0.8351630435828454
69, ,0.018604915860729914,0.7811604282475688
