Char_Index,Character,Raw_Attention_Score,Relative_Attention_Score
0,C,0.018329264770727605,0.6346268581346229
1,1,0.01752326460943247,0.11794332977027892
2,=,0.018498455251877505,0.7430858125667447
3,C,0.01817478524753824,0.5355983108285434
4,C,0.01818102883407846,0.5396007397090369
5,=,0.01852060677871729,0.7572859698320318
6,C,0.018124876466269296,0.5036044646226499
7,(,0.017493459415466834,0.09883681649489326
8,C,0.0175965060479939,0.1648944927050246
9,=,0.018482713513852406,0.7329946275571463
10,C,0.017379880708176643,0.02602759132617949
11,1,0.017372544893684488,0.021324993613118973
12,),0.018010038630260777,0.42998807948041323
13,C,0.017493093968369067,0.09860254793643358
14,C,0.0179865417497543,0.4149254880460215
15,O,0.017339278982641797,0.0
16, ,0.018475485655168693,0.728361234530005
17, ,0.018462780261567485,0.7202164872825828
18, ,0.018464866715172928,0.7215540009238911
19, ,0.01851150570049261,0.7514517560999997
20, ,0.018533932122712333,0.7658281340680336
21, ,0.018479675714236993,0.7310472569496351
22, ,0.01846458564978093,0.7213738249569215
23, ,0.018612530063061666,0.8162130633670655
24, ,0.01878184386684249,0.9247510733318438
25, ,0.018792959783847134,0.9318768922767634
26, ,0.01868315413594246,0.8614863733684851
27, ,0.018500677348735433,0.7445102798312133
28, ,0.01844284270191565,0.7074355857858254
29, ,0.018460016620034974,0.7184448647361837
30, ,0.01852687958550329,0.7613071302468519
31, ,0.01861283757413427,0.8164101922432554
32, ,0.018625074590090662,0.8242546876721882
33, ,0.018576881867678214,0.7933609148750022
34, ,0.018540739605668932,0.7701920467348055
35, ,0.018535011913627386,0.7665203301824725
36, ,0.018558286790115137,0.7814406067325559
37, ,0.01862438362635051,0.8238117478312588
38, ,0.018701316226118554,0.8731291164909889
39, ,0.018774980601544183,0.9203514015938982
40, ,0.01883122759560744,0.9564083365029359
41, ,0.018878308745721977,0.986589539843567
42, ,0.01889922838502874,1.0
43, ,0.018873042271782953,0.9832134855106731
44, ,0.018795356852933764,0.933413524864309
45, ,0.018698996709038813,0.8716421983408287
46, ,0.018662560013278078,0.8482845844945197
47, ,0.018701654102187604,0.8733457107398365
48, ,0.018747886293567717,0.9029826921120345
49, ,0.018755577213596553,0.9079129289627089
50, ,0.018684279600468773,0.8622078483885033
51, ,0.018523075326811522,0.758868423782432
52, ,0.01846082923778643,0.7189657904471161
53, ,0.01845480827614665,0.7151060744649389
54, ,0.018478930617372196,0.7305696152622463
55, ,0.018660635454580188,0.8470508530062127
56, ,0.018825440764582407,0.9526987091161889
57, ,0.018873054223755997,0.9832211472803593
58, ,0.018877548243229587,0.9861020224335622
59, ,0.018858246117209394,0.973728463399751
60, ,0.018806048940556746,0.9402676494959291
61, ,0.018741404075020302,0.8988272890345398
62, ,0.018688775987053912,0.8650902409701207
63, ,0.018656000669579953,0.8440797406142705
64, ,0.018648565281182528,0.8393133114044203
65, ,0.018674638141722728,0.8560272256508087
66, ,0.018713923539811123,0.8812109899628328
67, ,0.018733364704530686,0.8936736792589184
68, ,0.01870238462773462,0.8738140115359384
69, ,0.01861336346094807,0.8167473101093814
