Atom_Index,Atom_Symbol,Is_Aromatic,Raw_Attention_Score,Relative_Attention_Score
0,C,True,0.018329264770727605,1.0
1,C,True,0.01817478524753824,0.8439578375280915
2,C,True,0.01818102883407846,0.8502645811352846
3,C,True,0.018124876466269296,0.7935442034440664
4,C,True,0.0175965060479939,0.2598290485052961
5,C,True,0.017379880708176643,0.041012432727292915
6,C,False,0.017493093968369067,0.15537090287394847
7,C,False,0.0179865417497543,0.6538101606125274
8,O,False,0.017339278982641797,0.0
