Bond_Index,Begin_Atom_Index,Begin_Atom_Type,End_Atom_Index,End_Atom_Type,Bond_Type,Is_In_Ring,Is_Conjugated,Stereo,Directed_Edge_Indices,Raw_Importance_Score,Relative_Importance_Score
0,0,C,1,C,SINGLE,False,False,STEREONONE,"0,1",0.49951717257499695,0.497082773543403
1,1,C,2,C,SINGLE,False,False,STEREONONE,"2,3",0.9343798458576202,1.0
2,2,C,3,C,SINGLE,False,False,STEREONONE,"4,5",0.07515282183885574,0.006306821980942901
3,3,C,4,C,SINGLE,False,False,STEREONONE,"6,7",0.06969943642616272,0.0
4,4,C,5,C,SINGLE,False,False,STEREONONE,"8,9",0.4921453334391117,0.4885572662513709
5,5,C,6,C,SINGLE,False,False,STEREONONE,"10,11",0.9165211021900177,0.9793464227096981
6,6,C,7,O,DOUBLE,False,False,STEREONONE,"12,13",0.8977263867855072,0.957610397237734
