Atom_Index,Atom_Type,Degree,Formal_Charge,Is_Aromatic,Hybridization,Raw_Importance_Score,Relative_Importance_Score
0,C,2,0,True,SP2,0.14480990171432495,0.4850595003853371
1,C,2,0,True,SP2,0.16214415431022644,1.0
2,C,2,0,True,SP2,0.14334145188331604,0.4414369510163736
3,C,3,0,True,SP2,0.14593592286109924,0.5185096816774757
4,C,2,0,True,SP2,0.12848152220249176,0.0
5,C,2,0,True,SP2,0.1460317224264145,0.5213555543652871
6,C,2,0,False,SP3,0.13577522337436676,0.2166705547127767
7,C,2,0,False,SP2,0.1381484717130661,0.28717152834739745
8,O,1,0,False,SP2,0.15700557827949524,0.8473507355489737
