Bond_Index,Begin_Atom_Index,Begin_Atom_Type,End_Atom_Index,End_Atom_Type,Bond_Type,Is_In_Ring,Is_Conjugated,Stereo,Directed_Edge_Indices,Raw_Importance_Score,Relative_Importance_Score
0,0,C,1,C,AROMATIC,True,True,STEREONONE,"0,1",0.08751077950000763,0.010709791024925409
1,1,C,2,C,AROMATIC,True,True,STEREONONE,"2,3",0.08234221860766411,0.004463440160276116
2,2,C,3,C,AROMATIC,True,True,STEREONONE,"4,5",0.5082406662404537,0.5191736645410577
3,3,C,4,C,AROMATIC,True,True,STEREONONE,"6,7",0.5074985176324844,0.518276757124149
4,4,C,5,C,AROMATIC,True,True,STEREONONE,"8,9",0.500745702534914,0.5101157905994033
5,3,C,6,C,SINGLE,False,False,STEREONONE,"10,11",0.08483414724469185,0.007475005839922175
6,6,C,7,C,SINGLE,False,False,STEREONONE,"12,13",0.5012919120490551,0.5107759001235048
7,7,C,8,O,SINGLE,False,False,STEREONONE,"14,15",0.906101793050766,1.0
8,5,C,0,C,AROMATIC,True,True,STEREONONE,"16,17",0.07864893227815628,0.0
