Atom_Index,Atom_Type,Degree,Formal_Charge,Is_Aromatic,Hybridization,Raw_Importance_Score,Relative_Importance_Score
0,C,1,0,False,SP3,0.1681085228919983,0.15759518502052225
1,C,2,0,False,SP3,0.1426219940185547,0.05959103799745554
2,C,2,0,False,SP3,0.14094121754169464,0.05312789561470675
3,C,2,0,False,SP3,0.15378634631633759,0.10252167125247327
4,C,2,0,False,SP3,0.12712500989437103,0.0
5,C,2,0,False,SP3,0.16639508306980133,0.1510064412538204
6,C,2,0,False,SP2,0.25813406705856323,0.503773227159672
7,O,1,0,False,SP2,0.3871806263923645,1.0
