Bond_Index,Begin_Atom_Index,Begin_Atom_Type,End_Atom_Index,End_Atom_Type,Bond_Type,Is_In_Ring,Is_Conjugated,Stereo,Directed_Edge_Indices,Raw_Importance_Score,Relative_Importance_Score
0,0,C,1,C,AROMATIC,True,True,STEREONONE,"0,1",0.08745236694812775,0.038627598791785824
1,1,C,2,C,AROMATIC,True,True,STEREONONE,"2,3",0.08586324751377106,0.03493653412734857
2,2,C,3,C,AROMATIC,True,True,STEREONONE,"4,5",0.08003583922982216,0.021401150733815162
3,3,C,4,C,AROMATIC,True,True,STEREONONE,"6,7",0.5013534240424633,1.0
4,4,C,5,C,AROMATIC,True,True,STEREONONE,"8,9",0.5013101361691952,0.9998994547949234
5,3,C,6,C,SINGLE,False,False,STEREONONE,"10,11",0.07412290573120117,0.007667117011697517
6,6,C,7,C,SINGLE,False,False,STEREONONE,"12,13",0.07082197070121765,0.0
7,7,C,8,O,DOUBLE,False,False,STEREONONE,"14,15",0.07839534804224968,0.01759076435010024
8,5,C,0,C,AROMATIC,True,True,STEREONONE,"16,17",0.08083711192011833,0.023262275360315034
