Atom_Index,Atom_Type,Degree,Formal_Charge,Is_Aromatic,Hybridization,Raw_Importance_Score,Relative_Importance_Score
0,C,2,0,True,SP2,0.12749679386615753,0.0
1,C,2,0,True,SP2,0.14316532015800476,0.045067166985795125
2,C,2,0,True,SP2,0.1367017924785614,0.02647621108981207
3,C,3,0,True,SP2,0.1425749659538269,0.0433691392960887
4,C,2,0,True,SP2,0.14128558337688446,0.039660505898072476
5,C,2,0,True,SP2,0.1372470110654831,0.028044415823485356
6,C,2,0,False,SP3,0.1438029706478119,0.046901232332302194
7,C,2,0,False,SP3,0.15446843206882477,0.07757815254090183
8,O,1,0,False,SP3,0.47516733407974243,1.0
