Feature_Index,Feature_Type,Feature_Description
77,Fingerprint,(4, ((5, 'SINGLE'), (32, 'SINGLE')))
78,Fingerprint,(33, ((31, 'SINGLE'), (34, 'SINGLE'), (34, 'SINGLE'), (35, 'SINGLE')))
79,Fingerprint,(34, ((33, 'SINGLE'),))
80,Fingerprint,(35, ((33, 'SINGLE'),))
81,Fingerprint,(9, ((0, 'SINGLE'), (0, 'SINGLE'), (8, 'SINGLE'), (9, 'SINGLE')))
82,Fingerprint,(3, ((3, 'SINGLE'), (9, 'SINGLE')))
83,Fingerprint,(9, ((0, 'SINGLE'), (3, 'SINGLE'), (9, 'SINGLE'), (9, 'SINGLE')))
84,Fingerprint,(9, ((0, 'SINGLE'), (3, 'SINGLE'), (4, 'SINGLE'), (9, 'SINGLE')))
85,Fingerprint,(3, ((8, 'SINGLE'), (9, 'SINGLE')))
86,Fingerprint,(34, ((44, 'SINGLE'),))
87,Fingerprint,(44, ((31, 'SINGLE'), (34, 'SINGLE'), (34, 'SINGLE'), (46, 'SINGLE')))
88,Fingerprint,(31, ((32, 'SINGLE'), (44, 'SINGLE'), (48, 'SINGLE')))
89,Fingerprint,(32, ((31, 'SINGLE'), (45, 'SINGLE')))
90,Fingerprint,(45, ((32, 'SINGLE'), (46, 'SINGLE')))
91,Fingerprint,(46, ((34, 'SINGLE'), (44, 'SINGLE'), (45, 'SINGLE'), (47, 'SINGLE')))
92,Fingerprint,(34, ((46, 'SINGLE'),))
93,Fingerprint,(47, ((34, 'SINGLE'), (35, 'SINGLE'), (46, 'SINGLE'), (48, 'SINGLE')))
94,Fingerprint,(34, ((47, 'SINGLE'),))
95,Fingerprint,(35, ((47, 'SINGLE'),))
96,Fingerprint,(48, ((31, 'SINGLE'), (47, 'SINGLE')))
97,Fingerprint,(0, ((3, 'SINGLE'),))
98,Fingerprint,(3, ((0, 'SINGLE'), (1, 'SINGLE')))
99,Fingerprint,(1, ((0, 'SINGLE'), (3, 'SINGLE'), (10, 'DOUBLE')))
